Pdex,pokemon,Type 1,Type 2,Gen Change,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
35,Clefairy,Normal,,Gen 6,323,70,45,48,60,65,35
36,Clefable,Normal,,Gen 6,483,95,70,73,95,90,60
39,Jigglypuff,Normal,,Gen 6,270,115,45,20,45,25,20
40,Wigglytuff,Normal,,Gen 6,435,140,70,45,85,50,45
122,Mr. Mime,Psychic,,Gen 6,460,40,45,65,100,120,90
173,Cleffa,Normal,,Gen 6,218,50,25,28,45,55,15
174,Igglybuff,Normal,,Gen 6,210,90,30,15,40,20,15
175,Togepi,Normal,,Gen 6,245,35,20,65,40,65,20
176,Togetic,Normal,Flying,Gen 6,405,55,40,85,80,105,40
183,Marill,Water,,Gen 6,250,70,20,50,20,50,40
184,Azumarill,Water,,Gen 6,420,100,50,80,60,80,50
209,Snubbull,Normal,,Gen 6,300,60,80,50,40,40,30
210,Granbull,Normal,,Gen 6,450,90,120,75,60,60,45
280,Ralts,Psychic,,Gen 6,198,28,25,25,45,35,40
281,Kirlia,Psychic,,Gen 6,278,38,35,35,65,55,50
282,Gardevoir,Psychic,,Gen 6,518,68,65,65,125,115,80
298,Azurill,Normal,,Gen 6,190,50,20,40,20,40,20
303,Mawile,Steel,,Gen 6,380,50,85,85,55,55,50
439,Mime Jr.,Psychic,,Gen 6,310,20,25,45,70,90,60
468,Togekiss,Normal,Flying,Gen 6,545,85,50,95,120,115,80
546,Cottonee,Grass,,Gen 6,280,40,27,60,37,50,66
547,Whimsicott,Grass,,Gen 6,480,60,67,85,77,75,116
81,Magnemite,Electric,,Gen 1,325,25,35,70,95,55,45
82,Magneton,Electric,,Gen 1,465,50,60,95,120,70,70
479-heat,Rotom-Heat,Electric,Ghost,Gen 4,520,50,65,107,105,107,86
479-wash,Rotom-Wash,Electric,Ghost,Gen 4,520,50,65,107,105,107,86
479-frost,Rotom-Frost,Electric,Ghost,Gen 4,520,50,65,107,105,107,86
479-fan,Rotom-Fan,Electric,Ghost,Gen 4,520,50,65,107,105,107,86
479-mow,Rotom-Mow,Electric,Ghost,Gen 4,520,50,65,107,105,107,86
