year_month,count,format,total,percentage
2022-11,183,[Gen 9] OU,183,100.0
2022-12,386,[Gen 9] OU,386,100.0
2023-01,274,[Gen 9] OU,274,100.0
2023-02,873,[Gen 9] OU,873,100.0
2023-03,894,[Gen 9] OU,894,100.0
2023-04,928,[Gen 9] OU,928,100.0
2023-05,315,[Gen 9] OU,315,100.0
2023-06,333,[Gen 9] OU,333,100.0
2023-07,224,[Gen 9] OU,224,100.0
2023-08,196,[Gen 9] OU,196,100.0
2023-09,548,[Gen 9] OU,548,100.0
2023-10,352,[Gen 9] OU,352,100.0
2023-11,266,[Gen 9] OU,266,100.0
2023-12,31461,[Gen 9] OU,31461,100.0
2024-01,28976,[Gen 9] OU,28976,100.0
2024-02,52042,[Gen 9] OU,52042,100.0
2024-03,77520,[Gen 9] OU,77520,100.0
2024-04,71426,[Gen 9] OU,71426,100.0
2024-05,63141,[Gen 9] OU,63141,100.0
2024-06,63339,[Gen 9] OU,63339,100.0
2024-07,66736,[Gen 9] OU,66736,100.0
2024-08,87683,[Gen 9] OU,87683,100.0
2024-09,75407,[Gen 9] OU,75407,100.0
2024-10,83256,[Gen 9] OU,83256,100.0
2024-11,76211,[Gen 9] OU,76211,100.0
2024-12,74479,[Gen 9] OU,74479,100.0
2025-01,74083,[Gen 9] OU,74083,100.0
2025-02,73581,[Gen 9] OU,73581,100.0
2025-03,88341,[Gen 9] OU,88341,100.0
2025-04,77330,[Gen 9] OU,77330,100.0
2025-05,77760,[Gen 9] OU,77760,100.0
2025-06,37362,[Gen 9] OU,37362,100.0
