name,format,played,wins,losses,first_played,last_played,lowest_rating,highest_rating,rating_list,pokemon_used
abra70797,[Gen 1] UBERS,1,0,1,2018-04-15 12:06:54,2018-04-15 12:06:54,,,,"{'Jolteon': 1, 'Starmie': 1, 'Charizard': 1, 'Alakazam': 1, 'Mewtwo': 1, 'Rhydon': 1}"
abra98723,[Gen 1] UBERS,1,0,1,2020-06-26 18:59:34,2020-06-26 18:59:34,,,,"{'Gengar': 1, 'Snorlax': 1, 'Lapras': 1, 'Mewtwo': 1, 'Rhydon': 1, 'Dragonite': 1}"
absol22092,[Gen 1] UBERS,1,1,0,2020-04-17 20:05:01,2020-04-17 20:05:01,,,,"{'Cloyster': 1, 'Kingler': 1, 'Gyarados': 1, 'Lapras': 1, 'Blastoise': 1}"
absol37368,[Gen 1] UBERS,2,0,2,2015-06-23 18:38:46,2015-06-24 17:07:47,,,,"{'Jynx': 2, 'Mew': 2, 'Articuno': 2, 'Slowbro': 2, 'Mewtwo': 2, 'Chansey': 2}"
absol60772,[Gen 1] UBERS,1,0,1,2020-07-20 03:27:11,2020-07-20 03:27:11,,,,"{'Jynx': 1, 'Mew': 1, 'Zapdos': 1, 'Snorlax': 1, 'Mewtwo': 1, 'Chansey': 1}"
absol63524,[Gen 1] UBERS,2,0,2,2019-10-12 00:40:25,2019-11-11 01:31:00,,,,"{'Jynx': 2, 'Mew': 2, 'Slowbro': 2, 'Snorlax': 2, 'Mewtwo': 2, 'Chansey': 2}"
absorb37064,[Gen 1] UBERS,1,1,0,2024-08-01 22:24:54,2024-08-01 22:24:54,1038.0,1038.0,[1038.0],"{'Mewtwo': 1, 'Gengar': 1, 'Tauros': 1, 'Chansey': 1}"
absorb86921,[Gen 1] UBERS,1,0,1,2023-01-10 06:04:46,2023-01-10 06:04:46,,,,"{'Mew': 1, 'Exeggutor': 1, 'Snorlax': 1, 'Tauros': 1, 'Mewtwo': 1, 'Chansey': 1}"
acid42394,[Gen 1] UBERS,5,4,1,2018-11-13 00:08:04,2019-07-07 19:18:12,,,,"{'Exeggutor': 5, 'Snorlax': 5, 'Tauros': 5, 'Mewtwo': 5, 'Chansey': 4, 'Mew': 4}"
acidarmor32438,[Gen 1] UBERS,1,1,0,2016-07-23 21:28:08,2016-07-23 21:28:08,,,,"{'Cloyster': 1, 'Jolteon': 1, 'Exeggutor': 1, 'Lapras': 1, 'Alakazam': 1, 'Rhydon': 1}"
acidarmor43673,[Gen 1] UBERS,1,0,1,2024-08-01 15:37:52,2024-08-01 15:37:52,,,,"{'Mew': 1, 'Exeggutor': 1, 'Slowbro': 1, 'Snorlax': 1, 'Tauros': 1, 'Mewtwo': 1}"
acidarmor58327,[Gen 1] UBERS,1,0,1,2019-05-22 00:36:08,2019-05-22 00:36:08,,,,"{'Ditto': 1, 'Charizard': 1, 'Mewtwo': 1, 'Eevee': 1, 'Dragonite': 1, 'Gyarados': 1}"
