name,format,played,wins,losses,first_played,last_played,lowest_rating,highest_rating,rating_list,pokemon_used
abra60610,[Gen 1] UU,3,2,1,2021-12-07 04:13:13,2021-12-07 04:49:10,,,,"{'Kadabra': 3, 'Dugtrio': 2, 'Hypno': 3, 'Gyarados': 1, 'Dragonite': 1, 'Tentacruel': 3, 'Persian': 2, 'Articuno': 2}"
absol73157,[Gen 1] UU,5,4,1,2023-04-28 23:35:13,2023-05-18 23:21:16,,,,"{'Clefable': 2, 'Electrode': 2, 'Electabuzz': 1, 'Raichu': 1, 'Gyarados': 1, 'Articuno': 3, 'Kangaskhan': 3, 'Dugtrio': 1, 'Persian': 3, 'Tentacruel': 3, 'Moltres': 1, 'Lapras': 2, 'Kadabra': 2, 'Haunter': 1, 'Hypno': 1, 'Dragonite': 2}"
absorb89091,[Gen 1] UU,6,4,2,2023-07-22 01:41:18,2023-07-22 03:22:33,,,,"{'Kangaskhan': 6, 'Electrode': 4, 'Kadabra': 4, 'Persian': 4, 'Clefable': 6, 'Articuno': 3, 'Dugtrio': 2, 'Dodrio': 2, 'Gyarados': 2, 'Tentacruel': 3}"
acid42394,[Gen 1] UU,3,1,2,2018-12-17 21:42:16,2019-07-08 20:00:20,,,,"{'Clefable': 1, 'Kangaskhan': 3, 'Electrode': 1, 'Kadabra': 3, 'Dugtrio': 3, 'Hypno': 3, 'Haunter': 2, 'Tentacruel': 2}"
acidarmor10815,[Gen 1] UU,20,11,9,2024-06-23 16:37:39,2024-11-10 22:02:09,,,,"{'Kangaskhan': 15, 'Haunter': 7, 'Persian': 4, 'Gyarados': 10, 'Raichu': 2, 'Dragonite': 3, 'Kadabra': 18, 'Articuno': 9, 'Clefable': 5, 'Tentacruel': 17, 'Ninetales': 1, 'Dugtrio': 10, 'Electabuzz': 1, 'Golem': 3, 'Dodrio': 6, 'Vaporeon': 2, 'Venomoth': 1, 'Tangela': 1}"
acupressure6741,[Gen 1] UU,1,0,1,2016-06-02 17:17:47,2016-06-02 17:17:47,1024.0,1024.0,[1024.0],"{'Kangaskhan': 1, 'Dragonair': 1, 'Haunter': 1, 'Dugtrio': 1, 'Arcanine': 1, 'Vaporeon': 1}"
adamantorb51499,[Gen 1] UU,1,1,0,2020-05-11 00:25:18,2020-05-11 00:25:18,,,,"{'Kadabra': 1, 'Golem': 1, 'Dugtrio': 1, 'Hypno': 1, 'Gyarados': 1, 'Tentacruel': 1}"
adaptability45192,[Gen 1] UU,34,23,11,2022-03-19 15:37:42,2023-10-29 14:53:14,,,,"{'Kadabra': 32, 'Dugtrio': 16, 'Gyarados': 10, 'Hypno': 27, 'Dragonite': 8, 'Tentacruel': 33, 'Kangaskhan': 15, 'Dodrio': 6, 'Dewgong': 3, 'Poliwrath': 1, 'Electabuzz': 4, 'Persian': 12, 'Articuno': 15, 'Venusaur': 6, 'Haunter': 5, 'Lapras': 1, 'Pinsir': 1, 'Vaporeon': 1, 'Aerodactyl': 2}"
adaptability73331,[Gen 1] UU,3,2,1,2020-08-10 00:38:25,2020-08-10 01:21:15,,,,"{'Electabuzz': 3, 'Kadabra': 3, 'Hypno': 3, 'Dragonite': 3, 'Tentacruel': 2, 'Omastar': 2}"
aerialace15145,[Gen 1] UU,2,1,1,2024-03-26 07:31:15,2024-03-26 07:49:09,,,,"{'Kangaskhan': 2, 'Kadabra': 2, 'Haunter': 2, 'Dugtrio': 2, 'Articuno': 2, 'Tentacruel': 2}"
