name,format,played,wins,losses,first_played,last_played,lowest_rating,highest_rating,pokemon_used
absol37065,[Gen 3] NU,3,1,2,2019-07-12 17:21:01,2019-07-12 17:43:58,,,"{'Chinchou': 1, 'Gloom': 3, 'Pineco': 1, 'Delibird': 2, 'Nosepass': 3, 'Meditite': 1, 'Staryu': 1, 'Cubone': 1, 'Growlithe': 2, 'Seaking': 1, 'Elekid': 1, 'Voltorb': 1}"
absorb60200,[Gen 3] NU,1,0,1,2025-05-12 00:56:32,2025-05-12 00:56:32,,,"{'Bellossom': 1, 'Metang': 1, 'Arbok': 1, 'Flareon': 1, 'Glalie': 1, 'Haunter': 1}"
acidarmor55318,[Gen 3] NU,1,0,1,2016-09-04 12:40:17,2016-09-04 12:40:17,1000.0,1000.0,"{'Swalot': 1, 'Pelipper': 1, 'Raticate': 1, ""Farfetch'D"": 1, 'Hitmonchan': 1, 'Pupitar': 1}"
acupressure5238,[Gen 3] NU,4,2,2,2019-01-13 21:58:25,2019-03-14 01:10:03,,,"{'Octillery': 1, 'Volbeat': 1, 'Minun': 3, 'Glalie': 1, 'Haunter': 1, 'Furret': 1, 'Shedinja': 1, 'Houndour': 2, 'Omanyte': 2, 'Ivysaur': 1, 'Vibrava': 1, 'Drowzee': 1, 'Wailmer': 1, 'Shuckle': 1, 'Delcatty': 1, 'Bayleef': 1, 'Dragonair': 1}"
adaptability26680,[Gen 3] NU,37,18,19,2019-06-05 18:08:00,2020-06-14 16:29:00,,,"{'Golbat': 9, 'Omanyte': 11, 'Houndour': 8, 'Bayleef': 11, 'Duskull': 6, 'Abra': 6, 'Marshtomp': 3, 'Metang': 10, 'Ivysaur': 9, 'Sealeo': 7, 'Wailmer': 2, 'Pineco': 10, 'Voltorb': 2, 'Delibird': 5, 'Growlithe': 10, 'Nosepass': 8, 'Taillow': 6, 'Elekid': 6, 'Staryu': 6, 'Delcatty': 10, 'Snorunt': 2, 'Koffing': 5, 'Drowzee': 3, 'Trapinch': 3, 'Graveler': 3, 'Seadra': 4, 'Haunter': 3, 'Grimer': 6, 'Magnemite': 1, 'Lileep': 2, 'Croconaw': 1, 'Doduo': 2, 'Gloom': 10, 'Pupitar': 2, 'Ledian': 1, 'Zigzagoon': 1, 'Combusken': 1, 'Ponyta': 1, 'Weepinbell': 1, 'Quilava': 1, 'Sunflora': 1, 'Castform': 1, 'Meditite': 1, 'Poliwag': 1, 'Masquerain': 4, 'Wartortle': 1, 'Machoke': 1, 'Gastly': 1, 'Furret': 1, 'Minun': 1}"
aerialace91334,[Gen 3] NU,2,1,1,2020-07-15 10:53:03,2020-07-15 10:53:10,,,"{'Omanyte': 2, 'Furret': 2, 'Ivysaur': 2, 'Houndour': 2, 'Minun': 2, 'Dragonair': 2}"
aeroblast60363,[Gen 3] NU,7,5,2,2024-06-08 19:08:57,2025-03-02 15:23:25,,,"{'Wailord': 3, 'Bellossom': 1, 'Metang': 6, 'Flareon': 5, 'Glalie': 7, 'Haunter': 7, 'Octillery': 1, 'Chimecho': 1, 'Plusle': 3, 'Hitmonchan': 2, 'Seadra': 1, 'Huntail': 1, 'Arbok': 1, 'Pelipper': 1, 'Torkoal': 1, 'Vigoroth': 1}"
aerodactyl75872,[Gen 3] NU,2,1,1,2020-04-24 02:14:06,2020-04-26 22:32:23,1119.0,1150.0,"{'Poliwhirl': 2, 'Kecleon': 2, 'Wailord': 1, 'Charmeleon': 1, 'Voltorb': 1, 'Haunter': 1}"
aggron26807,[Gen 3] NU,1,0,1,2024-04-15 22:10:23,2024-04-15 22:10:23,,,"{'Golbat': 1, 'Wailord': 1, 'Roselia': 1, 'Metang': 1, 'Plusle': 1, 'Hypno': 1}"
aggron34190,[Gen 3] NU,1,0,1,2025-04-05 20:18:03,2025-04-05 20:18:03,,,"{'Octillery': 1, 'Sableye': 1, 'Roselia': 1, 'Metang': 1, 'Plusle': 1, 'Lickitung': 1}"
