name,format,played,wins,losses,first_played,last_played,lowest_rating,highest_rating,rating_list,pokemon_used
abomasnow10147,[Gen 3] OU,1,1,0,2024-11-21 21:08:56,2024-11-21 21:08:56,1367.0,1367.0,[1367.0],"{'Metagross': 1, 'Claydol': 1, 'Salamence': 1, 'Celebi': 1, 'Suicune': 1, 'Snorlax': 1}"
abomasnow10873,[Gen 3] OU,2,1,1,2020-03-11 05:32:02,2020-07-12 18:39:07,1034.0,1034.0,[1034.0],"{'Registeel': 1, 'Blaziken': 1, 'Zapdos': 1, 'Milotic': 1, 'Aerodactyl': 1, 'Mightyena': 1, 'Steelix': 1, 'Linoone': 1}"
abomasnow16624,[Gen 3] OU,1,0,1,2024-05-12 15:37:16,2024-05-12 15:37:16,1184.0,1184.0,[1184.0],"{'Regice': 1, 'Magneton': 1, 'Flygon': 1, 'Tyranitar': 1, 'Skarmory': 1}"
abomasnow16673,[Gen 3] OU,9,6,3,2021-02-06 22:42:54,2025-02-17 23:13:54,1174.0,1340.0,"[1174.0, 1282.0, 1268.0, 1340.0]","{'Metagross': 2, 'Claydol': 4, 'Salamence': 6, 'Magneton': 1, 'Celebi': 3, 'Suicune': 2, 'Swampert': 5, 'Jirachi': 4, 'Tyranitar': 6, 'Starmie': 1, 'Hariyama': 1, 'Zapdos': 2, 'Aerodactyl': 2, 'Breloom': 1, 'Forretress': 2, 'Blissey': 2, 'Skarmory': 4, 'Gengar': 2, 'Lapras': 1, 'Flygon': 1}"
abomasnow17134,[Gen 3] OU,12,8,4,2025-02-19 21:29:44,2025-04-12 09:06:46,,,,"{'Aerodactyl': 12, 'Entei': 11, 'Smeargle': 12, 'Golem': 12, 'Scizor': 12, 'Tentacruel': 9, 'Butterfree': 3}"
abomasnow25235,[Gen 3] OU,3,2,1,2024-05-26 20:23:29,2024-07-15 03:44:14,1062.0,1122.0,"[1112.0, 1062.0, 1122.0]","{'Ludicolo': 3, 'Swampert': 3, 'Celebi': 3, 'Gengar': 3, 'Snorlax': 3, 'Aerodactyl': 2}"
abomasnow2830,[Gen 3] OU,1,0,1,2025-05-07 08:55:47,2025-05-07 08:55:47,1215.0,1215.0,[1215.0],"{'Aerodactyl': 1, 'Gengar': 1, 'Celebi': 1, 'Houndoom': 1, 'Forretress': 1}"
abomasnow2978,[Gen 3] OU,1,0,1,2019-07-06 08:46:33,2019-07-06 08:46:33,1008.0,1008.0,[1008.0],"{'Typhlosion': 1, 'Celebi': 1, 'Espeon': 1, 'Corsola': 1, 'Blastoise': 1}"
abomasnow30115,[Gen 3] OU,7,0,7,2017-12-20 22:23:22,2018-08-24 05:27:27,1000.0,1082.0,"[1070.0, 1000.0, 1000.0, 1029.0, 1082.0, 1059.0]","{'Blissey': 2, 'Milotic': 7, 'Miltank': 2, 'Dusclops': 7, 'Espeon': 2, 'Ninjask': 4, 'Tropius': 3, 'Aggron': 3, 'Manectric': 4, 'Slaking': 5, 'Claydol': 1}"
abomasnow30183,[Gen 3] OU,267,246,21,2023-12-12 09:46:39,2025-05-11 11:04:03,1000.0,1415.0,"[1073.0, 1127.0, 1028.0, 1171.0, 1208.0, 1110.0, 1130.0, 1092.0, 1000.0, 1059.0, 1197.0, 1067.0, 1071.0, 1147.0, 1124.0, 1000.0, 1115.0, 1072.0, 1019.0, 1054.0, 1178.0, 1150.0, 1057.0, 1123.0, 1000.0, 1098.0, 1095.0, 1100.0, 1058.0, 1101.0, 1140.0, 1086.0, 1065.0, 1208.0, 1181.0, 1106.0, 1085.0, 1063.0, 1206.0, 1121.0, 1224.0, 1200.0, 1303.0, 1318.0, 1306.0, 1310.0, 1363.0, 1225.0, 1169.0, 1180.0, 1131.0, 1159.0, 1246.0, 1054.0, 1102.0, 1124.0, 1035.0, 1106.0, 1066.0, 1119.0, 1137.0, 1169.0, 1187.0, 1198.0, 1000.0, 1245.0, 1316.0, 1288.0, 1138.0, 1337.0, 1269.0, 1331.0, 1266.0, 1313.0, 1187.0, 1110.0, 1142.0, 1097.0, 1109.0, 1119.0, 1175.0, 1124.0, 1093.0, 1202.0, 1092.0, 1207.0, 1241.0, 1317.0, 1242.0, 1296.0, 1327.0, 1162.0, 1337.0, 1287.0, 1271.0, 1314.0, 1379.0, 1331.0, 1205.0, 1155.0, 1332.0, 1120.0, 1216.0, 1033.0, 1258.0, 1162.0, 1103.0, 1060.0, 1194.0, 1215.0, 1179.0, 1049.0, 1185.0, 1169.0, 1249.0, 1070.0, 1300.0, 1300.0, 1267.0, 1289.0, 1214.0, 1291.0, 1136.0, 1071.0, 1086.0, 1030.0, 1095.0, 1133.0, 1096.0, 1213.0, 1115.0, 1180.0, 1013.0, 1096.0, 1066.0, 1118.0, 1110.0, 1215.0, 1106.0, 1183.0, 1251.0, 1296.0, 1150.0, 1319.0, 1241.0, 1254.0, 1360.0, 1357.0, 1361.0, 1147.0, 1251.0, 1381.0, 1167.0, 1304.0, 1319.0, 1123.0, 1170.0, 1367.0, 1371.0, 1415.0, 1296.0, 1259.0, 1255.0, 1372.0, 1405.0, 1301.0, 1303.0, 1322.0, 1314.0, 1306.0, 1333.0, 1265.0, 1058.0, 1289.0, 1195.0, 1110.0, 1146.0, 1077.0, 1210.0, 1117.0, 1028.0, 1138.0, 1068.0, 1094.0, 1068.0, 1050.0, 1055.0, 1136.0, 1053.0, 1091.0, 1173.0, 1109.0, 1080.0, 1178.0, 1225.0, 1257.0, 1138.0, 1119.0, 1114.0, 1284.0, 1117.0, 1301.0, 1313.0, 1285.0, 1330.0, 1276.0, 1204.0, 1050.0, 1251.0, 1107.0, 1192.0, 1230.0, 1108.0, 1246.0, 1112.0, 1000.0, 1023.0, 1177.0, 1099.0, 1076.0, 1219.0, 1156.0, 1166.0, 1082.0, 1191.0, 1126.0, 1151.0, 1046.0, 1241.0, 1058.0, 1220.0, 1255.0, 1250.0, 1265.0, 1225.0, 1088.0, 1070.0, 1172.0, 1124.0, 1138.0, 1177.0, 1280.0, 1168.0, 1068.0, 1001.0, 1056.0, 1075.0, 1062.0, 1053.0, 1150.0, 1086.0, 1000.0, 1068.0, 1000.0, 1030.0, 1023.0, 1131.0, 1157.0, 1047.0, 1186.0, 1059.0, 1178.0, 1092.0, 1147.0, 1188.0, 1132.0]","{'Blissey': 148, 'Metagross': 162, 'Salamence': 188, 'Magneton': 150, 'Dugtrio': 66, 'Skarmory': 138, 'Starmie': 46, 'Swampert': 48, 'Tyranitar': 77, 'Gengar': 36, 'Hariyama': 55, 'Jirachi': 26, 'Celebi': 89, 'Claydol': 44, 'Snorlax': 60, 'Gyarados': 33, 'Suicune': 23, 'Piloswine': 4, 'Flygon': 13, 'Heracross': 10, 'Moltres': 5, 'Aerodactyl': 13, 'Marowak': 4}"
