name,format,played,wins,losses,first_played,last_played,lowest_rating,highest_rating,rating_list,pokemon_used
abomasnow30183,[Gen 4] NU,2,1,1,2025-01-27 04:22:38,2025-01-27 04:31:38,,,,"{'Regirock': 2, 'Charizard': 2, 'Skuntank': 2, 'Magmortar': 2, 'Hitmonchan': 2, 'Whiscash': 2}"
abra70797,[Gen 4] NU,1,0,1,2019-02-08 12:58:33,2019-02-08 12:58:33,,,,"{'Marowak': 1, 'Mantine': 1, 'Regirock': 1, 'Charizard': 1, 'Pikachu': 1, 'Mawile': 1}"
absol56061,[Gen 4] NU,1,1,0,2025-03-03 21:40:57,2025-03-03 21:40:57,,,,"{'Jynx': 1, 'Regirock': 1, 'Skuntank': 1, 'Hitmonchan': 1, 'Manectric': 1, 'Haunter': 1}"
absorb34684,[Gen 4] NU,1,1,0,2019-06-23 21:28:21,2019-06-23 21:28:21,,,,"{'Marowak': 1, 'Octillery': 1, 'Ampharos': 1, 'Xatu': 1, 'Regigigas': 1, 'Probopass': 1}"
absorb54989,[Gen 4] NU,1,0,1,2019-06-02 22:11:52,2019-06-02 22:11:52,,,,"{'Charizard': 1, 'Sandslash': 1, 'Skuntank': 1, 'Floatzel': 1, 'Vileplume': 1, 'Gardevoir': 1}"
absorb65546,[Gen 4] NU,1,1,0,2024-07-08 22:26:00,2024-07-08 22:26:00,,,,"{'Snover': 1, 'Dusclops': 1, 'Claydol': 1, 'Drapion': 1, 'Walrein': 1}"
absorb70373,[Gen 4] NU,3,1,2,2024-06-13 22:08:32,2024-06-13 22:23:40,,,,"{'Shiftry': 1, 'Regirock': 2, 'Nidoqueen': 1, 'Hitmonchan': 1, 'Slowking': 2, 'Gardevoir': 1, 'Ampharos': 1, 'Skuntank': 1, 'Drifblim': 1, 'Tauros': 1, 'Rhydon': 1, 'Manectric': 1, 'Glalie': 1, 'Haunter': 1}"
acid1060,[Gen 4] NU,3,2,1,2024-10-06 12:50:37,2024-10-06 12:59:27,,,,"{'Diglett': 3, 'Rampardos': 3, 'Girafarig': 2, 'Xatu': 2, 'Cacturne': 3, 'Lapras': 2}"
acidarmor3688,[Gen 4] NU,1,1,0,2016-10-14 19:23:44,2016-10-14 19:23:44,,,,"{'Sharpedo': 1, 'Sandslash': 1, 'Medicham': 1, 'Tauros': 1, 'Manectric': 1}"
acupressure31768,[Gen 4] NU,1,0,1,2018-09-02 04:04:59,2018-09-02 04:04:59,,,,"{'Rapidash': 1, 'Victreebel': 1, 'Misdreavus': 1, 'Gabite': 1, 'Rhydon': 1, 'Electabuzz': 1}"
acupressure38299,[Gen 4] NU,11,7,4,2024-08-24 18:54:27,2024-09-12 17:23:21,,,,"{'Regirock': 7, 'Exeggutor': 5, 'Victreebel': 4, 'Skuntank': 10, 'Persian': 5, 'Gardevoir': 3, 'Nidoking': 2, 'Tangrowth': 2, 'Medicham': 2, 'Hitmonchan': 3, 'Slowking': 2, 'Entei': 3, 'Cloyster': 2, 'Drifblim': 3, 'Espeon': 3, 'Absol': 1, 'Shiftry': 1, 'Tauros': 1, 'Charizard': 1, 'Electrode': 1}"
acupressure5238,[Gen 4] NU,5,0,5,2018-04-05 21:48:39,2019-05-16 17:19:16,,,,"{'Marshtomp': 1, 'Aipom': 1, 'Pineco': 1, 'Noctowl': 1, 'Seviper': 1, 'Carnivine': 1, 'Tropius': 1, 'Kingler': 1, 'Diglett': 1, 'Beedrill': 1, 'Shelgon': 1, 'Mawile': 1, 'Shiftry': 1, 'Regirock': 3, 'Charizard': 2, 'Skuntank': 2, 'Floatzel': 2, 'Vileplume': 2, 'Meganium': 1, 'Luxray': 1, 'Hitmonchan': 2, 'Slowking': 1, 'Jynx': 1}"
adamantorb39816,[Gen 4] NU,3,2,1,2018-07-31 19:34:58,2018-08-24 13:18:00,,,,"{'Shiftry': 1, 'Drifblim': 2, 'Charizard': 2, 'Hitmonchan': 1, 'Tauros': 1, 'Venomoth': 1, 'Typhlosion': 1, 'Sandslash': 2, 'Skuntank': 2, 'Slowking': 1, 'Haunter': 1, 'Medicham': 1, 'Magmortar': 1, 'Floatzel': 1}"
adaptability15938,[Gen 4] NU,6,4,2,2019-06-21 16:32:06,2019-06-25 17:22:34,,,,"{'Dusclops': 4, 'Wartortle': 2, 'Mightyena': 2, 'Solrock': 3, 'Flareon': 3, 'Budew': 2, 'Diglett': 4, 'Politoed': 2, 'Lairon': 2, 'Persian': 2, 'Quagsire': 1, 'Beedrill': 1, 'Houndour': 1, 'Granbull': 1, 'Huntail': 1, 'Lunatone': 1, 'Fearow': 1, 'Gastly': 1, 'Yanma': 1}"
adaptability26680,[Gen 4] NU,9,5,4,2018-12-26 17:02:48,2019-06-24 03:33:08,,,,"{'Dusclops': 7, 'Mankey': 3, 'Swalot': 3, 'Dunsparce': 3, 'Lapras': 3, 'Shelgon': 3, 'Luxray': 3, 'Wartortle': 3, 'Chimecho': 4, 'Bastiodon': 4, 'Quagsire': 5, 'Pidgeot': 1, 'Arbok': 2, 'Flareon': 2, 'Tangela': 2, 'Kecleon': 2}"
