id,format,uploadtime,rating,player1,player2,Winner,Forfeit,Team 1,Team 2,Turns,# Switches 1,# Switches 2
gen2nu-746921167,[Gen 2] NU,2018-05-13 20:48:05,1000,blacksludge18509,synthesis55828,blacksludge18509,False,"['Hitmontop', 'Haunter', 'Mr. Mime', 'Dewgong', 'Pikachu']","['Pidgeot', 'Hitmontop', 'Murkrow', 'Mr. Mime', 'Dugtrio', 'Pikachu']",24,4,9
smogtours-gen2nu-535256,[Gen 2] NU,2021-01-03 19:34:28,,watergun59811,turtwig42732,turtwig42732,False,"['Sudowoodo', 'Xatu', 'Octillery', 'Weezing', 'Stantler', 'Primeape']","['Xatu', 'Houndour', 'Graveler', 'Chinchou', 'Hitmonlee', 'Primeape']",39,22,20
smogtours-gen2nu-553293,[Gen 2] NU,2021-04-03 17:26:21,,watergun59811,watmelberry24903,watergun59811,True,"['Flareon', 'Xatu', 'Wigglytuff', 'Weezing', 'Stantler', 'Dugtrio']","['Xatu', 'Octillery', 'Graveler', 'Gloom', 'Magnemite', 'Primeape']",29,12,12
gen2nu-825263872,[Gen 2] NU,2018-11-24 00:02:09,,heatrock37333,bug99182,heatrock37333,False,"['Weezing', 'Graveler', 'Feraligatr', 'Raichu', 'Primeape', 'Fearow']","['Porygon', 'Rapidash', 'Weezing', 'Primeape', 'Feraligatr', 'Tangela']",76,28,26
smogtours-gen2nu-714544,[Gen 2] NU,2023-09-06 21:37:23,,stench25210,buneary57593,stench25210,True,"['Ninetales', 'Xatu', 'Wigglytuff', 'Graveler', 'Chinchou', 'Tangela']","['Octillery', 'Weezing', 'Graveler', 'Stantler', 'Furret', 'Fearow']",65,27,31
smogtours-gen2nu-664574,[Gen 2] NU,2022-12-11 20:44:10,,innerfocus91859,zoomlens36961,zoomlens36961,True,"['Xatu', 'Octillery', 'Houndour', 'Chinchou', 'Hitmonlee', 'Primeape']","['Porygon', 'Pineco', 'Xatu', 'Octillery', 'Weezing', 'Fearow']",66,16,19
gen2nu-914017866,[Gen 2] NU,2019-05-22 02:45:39,,lightscreen99950,latias5555,lightscreen99950,True,"['Kingler', 'Sudowoodo', 'Exeggcute', 'Poliwrath', 'Dugtrio', 'Raichu']","['Pineco', 'Xatu', 'Wigglytuff', 'Poliwrath', 'Dugtrio', 'Persian']",63,17,16
smogtours-gen2nu-448229,[Gen 2] NU,2019-06-20 01:09:57,,ariados65244,trick33871,trick33871,True,"['Exeggcute', 'Cubone', 'Dragonair', 'Poliwrath', 'Lickitung', 'Ledian']","['Pineco', 'Exeggcute', 'Wigglytuff', 'Poliwrath', 'Raichu', 'Shuckle']",105,29,35
gen2nu-1103411368,[Gen 2] NU,2020-04-26 01:44:31,,psn38480,trick33871,trick33871,True,"['Chinchou', 'Dugtrio', 'Persian']","['Kingler', 'Pineco', 'Chinchou']",12,3,3
smogtours-gen2nu-551947,[Gen 2] NU,2021-03-29 00:31:22,,watergun59811,onix94468,onix94468,False,"['Kingler', 'Houndour', 'Dugtrio', 'Gloom', 'Hitmonlee', 'Primeape']","['Ninetales', 'Sudowoodo', 'Xatu', 'Octillery', 'Weezing', 'Stantler']",67,23,26
smogtours-gen2nu-723645,[Gen 2] NU,2023-10-14 20:52:50,,watmelberry24903,pidgeot17027,pidgeot17027,True,"['Venomoth', 'Sunflora', 'Elekid', 'Delibird', 'Golbat']","['Hitmontop', 'Elekid', 'Murkrow', 'Tangela', 'Delibird']",42,15,15
smogtours-gen2nu-531023,[Gen 2] NU,2020-12-06 20:32:55,,golduck34873,watergun59811,golduck34873,False,"['Kingler', 'Pidgeot', 'Rapidash', 'Pineco', 'Poliwhirl', 'Dugtrio']","['Kingler', 'Pineco', 'Xatu', 'Dugtrio', 'Gloom', 'Magmar']",64,15,11
smogtours-gen2nu-769815,[Gen 2] NU,2024-05-22 02:02:53,,astonish32045,innerfocus97582,innerfocus97582,True,"[""Farfetch'D"", 'Octillery', 'Stantler', 'Dugtrio', 'Fearow']","['Flareon', 'Bayleef', 'Weezing', 'Dewgong', 'Shuckle']",115,35,33
gen2nu-2027137007,[Gen 2] NU,2024-01-04 19:35:19,,armaldo7268,stockpile1252,stockpile1252,False,"['Togetic', 'Magby', 'Bayleef', 'Onix', 'Croconaw', 'Koffing']","['Togetic', 'Magby', 'Grimer', 'Onix', 'Meowth', 'Croconaw']",89,37,38
gen2nu-1130741982,[Gen 2] NU,2020-06-11 11:09:21,,trick33871,watergun59811,trick33871,False,"['Rapidash', 'Xatu', 'Weezing', 'Primeape', 'Magmar', 'Fearow']","['Rapidash', 'Xatu', 'Wigglytuff', 'Weezing', 'Chinchou', 'Primeape']",36,8,13
smogtours-gen2nu-554137,[Gen 2] NU,2021-04-04 23:02:09,,watergun59811,watmelberry24903,watergun59811,False,"['Flareon', 'Xatu', 'Wigglytuff', 'Stantler', 'Dugtrio']","['Ponyta', 'Murkrow', 'Furret', 'Tangela', 'Delibird', 'Gastly']",22,4,9
