id,format,uploadtime,rating,player1,player2,Winner,Forfeit,Team 1,Team 2,Turns,# Switches 1,# Switches 2
gen2ou-2073659692,[Gen 2] OU,2024-03-05 02:43:03,1049,poisontail36956,nomelberry19418,poisontail36956,False,"['Cloyster', 'Exeggutor', 'Zapdos', 'Tyranitar', 'Primeape', 'Snorlax']","['Typhlosion', 'Golem', 'Machamp', 'Scizor', 'Snorlax', 'Alakazam']",29,11,10
smogtours-gen2ou-357185,[Gen 2] OU,2018-03-10 23:32:37,,horsea85236,frenzyplant99502,horsea85236,False,"['Cloyster', 'Exeggutor', 'Zapdos', 'Steelix', 'Snorlax']","['Crobat', 'Electrode', 'Gengar', 'Dugtrio', 'Persian', 'Forretress']",40,11,8
gen2ou-663688996,[Gen 2] OU,2017-11-23 19:05:14,,loudred69963,kabuto33883,loudred69963,False,"['Heracross', 'Typhlosion', 'Blastoise', 'Snorlax']","['Togetic', 'Steelix', 'Hypno', 'Raichu', 'Tentacruel']",46,9,8
gen2ou-1084396861,[Gen 2] OU,2020-03-24 08:25:29,1086,watergun94357,poisontail61920,poisontail61920,False,"['Exeggutor', 'Porygon2', 'Smeargle', 'Tyranitar', 'Gengar', 'Umbreon']","['Heracross', 'Typhlosion', 'Miltank', 'Jynx', 'Donphan']",33,7,6
gen2ou-535973640,[Gen 2] OU,2017-02-19 20:33:00,,deoxysattack72722,rollout26462,rollout26462,False,"['Magneton', 'Steelix', 'Scizor', 'Gyarados', 'Skarmory', 'Forretress']","['Cloyster', 'Lanturn', 'Marowak', 'Jolteon']",21,9,3
smogtours-gen2ou-567773,[Gen 2] OU,2021-06-26 00:49:01,,icepunch79179,powdersnow17473,icepunch79179,True,"['Cloyster', 'Snorlax', 'Golem']","['Cloyster', 'Snorlax']",5,2,1
gen2ou-1071844386,[Gen 2] OU,2020-03-01 19:59:38,,poisonheal30246,suicune49012,suicune49012,True,"['Starmie', 'Exeggutor', 'Raikou', 'Miltank', 'Snorlax', 'Forretress']","['Cloyster', 'Starmie', 'Raikou', 'Machamp', 'Snorlax']",30,12,12
gen2ou-396661655,[Gen 2] OU,2016-07-07 22:59:34,1111,earthplate61746,chilanberry73329,earthplate61746,True,"['Cloyster', 'Exeggutor', 'Zapdos', 'Tyranitar', 'Snorlax']","['Cloyster', 'Exeggutor', 'Nidoking', 'Zapdos', 'Tyranitar']",31,6,8
gen2ou-1058093106,[Gen 2] OU,2020-02-05 04:12:41,,focusblast87179,venusaur27555,focusblast87179,False,"['Cloyster', 'Nidoking', 'Snorlax', 'Zapdos']","['Jolteon', 'Porygon2', 'Marowak', 'Suicune', 'Jumpluff', 'Umbreon']",39,5,9
smogtours-gen2ou-623681,[Gen 2] OU,2022-05-02 13:24:08,,ariados65244,twister58164,twister58164,True,"['Moltres', 'Cloyster', 'Exeggutor', 'Golem', 'Raikou', 'Snorlax']","['Cloyster', 'Nidoking', 'Zapdos', 'Machamp', 'Gengar', 'Snorlax']",40,19,15
gen2ou-2294334068,[Gen 2] OU,2025-02-04 17:39:01,1127,crabhammer9778,wikiberry39442,crabhammer9778,True,"['Omastar', 'Qwilfish', 'Zapdos', 'Steelix', 'Espeon', 'Snorlax']","['Cloyster', 'Zapdos', 'Golem', 'Houndoom', 'Snorlax', 'Vaporeon']",40,16,20
gen2ou-981006828,[Gen 2] OU,2019-09-23 22:31:53,,dizzypunch75668,shadowball69993,dizzypunch75668,False,"['Exeggutor', 'Nidoking', 'Zapdos', 'Snorlax', 'Vaporeon']","['Cloyster', 'Lapras', 'Golem', 'Marowak', 'Ariados', 'Skarmory']",19,5,6
gen2ou-831214121,[Gen 2] OU,2018-11-06 03:42:58,1034,cut88961,loudred44461,loudred44461,False,"['Exeggutor', 'Charizard', 'Tyranitar', 'Miltank', 'Suicune', 'Snorlax']","['Tyranitar', 'Gengar', 'Marowak', 'Houndoom', 'Umbreon', 'Misdreavus']",56,8,10
gen2ou-1174206746,[Gen 2] OU,2020-08-24 01:16:57,,quickpowder55779,happiny10622,quickpowder55779,False,"['Moltres', 'Exeggutor', 'Entei', 'Jynx', 'Houndoom', 'Snorlax']","['Moltres', 'Exeggutor', 'Entei', 'Umbreon', 'Snorlax', 'Forretress']",70,12,17
smogtours-gen2ou-237892,[Gen 2] OU,2017-01-22 12:37:44,,rockthrow6972,destinyknot89777,rockthrow6972,True,"['Cloyster', 'Exeggutor', 'Zapdos', 'Steelix', 'Gengar', 'Snorlax']","['Cloyster', 'Nidoking', 'Zapdos', 'Machamp', 'Gengar', 'Snorlax']",35,14,13
gen2ou-597197684,[Gen 2] OU,2017-06-29 11:44:09,1000,uproar18640,spiritomb98006,uproar18640,False,"['Charizard', 'Jolteon', 'Smeargle', 'Umbreon', 'Vaporeon']","['Starmie', 'Jolteon', 'Aerodactyl', 'Hitmonlee', 'Arcanine', 'Alakazam']",43,6,6
smogtours-gen2ou-359635,[Gen 2] OU,2018-03-19 02:49:56,,sportball27112,icepunch49350,icepunch49350,True,"['Cloyster', 'Nidoking', 'Zapdos', 'Tyranitar', 'Machamp', 'Snorlax']","['Cloyster', 'Zapdos', 'Rhydon', 'Umbreon', 'Snorlax']",49,15,13
gen2ou-564736578,[Gen 2] OU,2017-04-21 02:15:58,,delcatty31981,megapunch95485,delcatty31981,False,"['Cloyster', 'Exeggutor', 'Electrode', 'Steelix', 'Gengar', 'Snorlax']","['Starmie', 'Charizard', 'Nidoking', 'Machamp', 'Clefable', 'Snorlax']",21,6,10
gen2ou-821668100,[Gen 2] OU,2018-10-17 16:50:38,,tailwhip2839,rest12816,tailwhip2839,False,"['Cloyster', 'Snorlax', 'Zapdos', 'Vaporeon']","['Cloyster', 'Machamp', 'Chansey', 'Rhydon', 'Arcanine', 'Alakazam']",22,4,9
smogtours-gen2ou-238451,[Gen 2] OU,2017-01-23 08:18:53,,crosspoison94515,runaway40204,runaway40204,True,"['Cloyster', 'Raikou', 'Suicune', 'Rhydon', 'Snorlax']","['Nidoking', 'Skarmory', 'Snorlax', 'Forretress', 'Vaporeon']",54,19,15
gen2ou-762550710,[Gen 2] OU,2018-06-14 23:15:48,,arceusdragon87480,articuno84390,arceusdragon87480,False,"['Jolteon', 'Typhlosion', 'Forretress', 'Victreebel']","['Meganium', 'Kabutops', 'Scizor', 'Persian', 'Raichu', 'Alakazam']",20,3,10
gen2ou-543087622,[Gen 2] OU,2017-03-06 06:09:32,,revenge86046,souldew57240,souldew57240,True,['Blissey'],['Umbreon'],5,0,0
smogtours-gen2ou-549706,[Gen 2] OU,2021-03-21 19:20:15,,stickybarb45781,lucario79158,lucario79158,True,"['Cloyster', 'Zapdos', 'Steelix', 'Machamp', 'Snorlax', 'Tentacruel']","['Cloyster', 'Nidoking', 'Zapdos', 'Jynx', 'Gengar', 'Snorlax']",29,11,12
smogtours-gen2ou-279603,[Gen 2] OU,2017-05-03 00:13:38,,trickroom81907,finneon50606,trickroom81907,False,"['Cloyster', 'Exeggutor', 'Nidoking', 'Raikou', 'Tyranitar', 'Tentacruel']","['Magneton', 'Sandslash', 'Dodrio', 'Victreebel', 'Quagsire', 'Feraligatr']",27,10,15
smogtours-gen2ou-544932,[Gen 2] OU,2021-03-02 03:05:55,,shadowtag53416,dig97663,dig97663,False,"['Cloyster', 'Exeggutor', 'Zapdos', 'Steelix', 'Snorlax', 'Vaporeon']","['Cloyster', 'Zapdos', 'Golem', 'Gengar', 'Jynx', 'Snorlax']",31,9,11
smogtours-gen2ou-535992,[Gen 2] OU,2021-01-10 19:30:28,,dig97663,staraptor94850,dig97663,False,"['Cloyster', 'Exeggutor', 'Heracross', 'Tyranitar', 'Raikou', 'Snorlax']","['Nidoking', 'Zapdos', 'Gengar', 'Snorlax', 'Forretress', 'Vaporeon']",60,20,25
smogtours-gen2ou-567088,[Gen 2] OU,2021-06-20 18:39:41,,sing2005,tintedlens67414,tintedlens67414,True,"['Cloyster', 'Zapdos', 'Golem', 'Machamp', 'Gengar', 'Snorlax']","['Cloyster', 'Zapdos', 'Steelix', 'Machamp', 'Jynx', 'Snorlax']",39,14,14
gen2ou-1080024462,[Gen 2] OU,2020-03-16 16:19:07,,luxray2085,par84481,par84481,False,"['Cloyster', 'Zapdos', 'Steelix', 'Gengar', 'Snorlax']","['Cloyster', 'Steelix', 'Gengar', 'Pikachu', 'Raichu', 'Snorlax']",43,14,13
gen2ou-1121594017,[Gen 2] OU,2020-05-26 15:33:42,,houndour44173,lightscreen90740,houndour44173,True,"['Quagsire', 'Snorlax', 'Zapdos', 'Forretress']","['Cloyster', 'Raikou', 'Machamp', 'Jynx', 'Snorlax']",21,6,6
gen2ou-1169482958,[Gen 2] OU,2020-08-15 19:33:34,1097,hippopotas5636,icebody50309,icebody50309,True,"['Cloyster', 'Exeggutor', 'Machamp', 'Rhydon', 'Snorlax']","['Raichu', 'Exeggutor']",12,4,1
gen2ou-677980813,[Gen 2] OU,2017-12-22 17:34:09,,par84481,solarpower3830,par84481,False,"['Cloyster', 'Zapdos', 'Skarmory', 'Miltank', 'Snorlax']","['Cloyster', 'Exeggutor', 'Steelix', 'Gengar', 'Snorlax', 'Vaporeon']",45,21,17
