id,format,uploadtime,rating,player1,player2,Winner,Forfeit,Team 1,Team 2,Turns,# Switches 1,# Switches 2
gen3uu-2053667500,[Gen 3] UU,2024-02-07 07:03:16,1107,zoomlens5648,exploud96711,exploud96711,False,"['Blastoise', 'Kangaskhan', 'Misdreavus', 'Scyther', 'Qwilfish', 'Golem']","['Haunter', 'Kangaskhan', 'Lanturn', 'Scyther', 'Omastar', 'Gligar']",32,8,9
gen3uu-696063943,[Gen 3] UU,2018-01-29 16:26:12,,laggingtail60881,omanyte21800,laggingtail60881,False,"['Camerupt', 'Poliwrath']","['Nidoking', 'Grumpig', 'Absol', 'Aggron', 'Cradily']",8,1,4
smogtours-gen3uu-545166,[Gen 3] UU,2021-03-05 20:28:17,,plusle8013,slash46153,slash46153,False,"['Muk', 'Kangaskhan', 'Ampharos', 'Omastar', 'Azumarill', 'Xatu']","['Electabuzz', 'Blastoise', 'Kangaskhan', 'Grumpig', 'Granbull', 'Gligar']",31,11,13
gen3uu-1158197227,[Gen 3] UU,2020-07-26 22:11:36,,clawfossil92844,buneary8061,buneary8061,False,"['Electrode', 'Pinsir', 'Walrein', 'Kangaskhan', 'Hypno', 'Granbull']","['Kangaskhan', 'Linoone', 'Omastar', 'Hypno', 'Banette', 'Vileplume']",20,9,6
gen3uu-2210306359,[Gen 3] UU,2024-09-26 18:25:27,,laxincense62401,crosspoison37832,laxincense62401,False,"['Camerupt', 'Walrein', 'Kangaskhan', 'Misdreavus', 'Omastar', 'Sharpedo']","['Golduck', 'Kangaskhan', 'Tentacruel', 'Granbull', 'Gligar', 'Ninetales']",33,10,13
gen3uu-792828930,[Gen 3] UU,2018-08-19 15:32:00,,trickroom24491,powerherb64058,powerherb64058,True,"['Kangaskhan', 'Scyther', 'Hypno', 'Vileplume', 'Golem', 'Manectric']","['Nidoking', 'Cradily', 'Kangaskhan']",19,10,2
smogtours-gen3uu-687688,[Gen 3] UU,2023-04-15 19:55:04,,astonish32045,lick25189,astonish32045,True,"['Kangaskhan', 'Ampharos', 'Omastar', 'Tentacruel', 'Gligar', 'Arcanine']","['Pinsir', 'Gorebyss', 'Kangaskhan', 'Omastar', 'Altaria', 'Arcanine']",36,13,13
gen3uu-1022336669,[Gen 3] UU,2019-12-03 23:35:34,,typhlosion76240,clearbody59762,clearbody59762,False,"['Nidoking', 'Kangaskhan', 'Scyther', 'Omastar', 'Vileplume', 'Manectric']","['Nidoking', 'Kangaskhan', 'Ampharos', 'Omastar', 'Hypno', 'Gligar']",47,14,13
smogtours-gen3uu-713524,[Gen 3] UU,2023-09-02 13:57:11,,mawile36886,wiseglasses62674,mawile36886,True,"['Wailord', 'Magmar', 'Metang', 'Sableye', 'Glalie']","['Primeape', 'Roselia', 'Poliwrath', 'Octillery', 'Hypno', 'Sableye']",26,5,7
gen3uu-742961638,[Gen 3] UU,2018-05-05 18:12:06,,ninjask45400,fissure96222,fissure96222,True,"['Electabuzz', 'Hitmonlee', 'Gligar', 'Cradily', 'Solrock', 'Sharpedo']","['Omastar', 'Kangaskhan', 'Electabuzz', 'Altaria']",45,16,15
gen3uu-468921050,[Gen 3] UU,2016-11-03 00:39:20,,dragonrage15031,crosschop81531,dragonrage15031,False,"['Primeape', 'Nidoking', 'Kangaskhan']","['Camerupt', 'Exploud', 'Crawdaunt', 'Banette', 'Absol', 'Cradily']",15,4,8
smogtours-gen3uu-715182,[Gen 3] UU,2023-09-10 01:22:18,,hypnosis98671,astonish32045,astonish32045,False,"['Hitmontop', 'Kangaskhan', 'Lanturn', 'Scyther', 'Aggron', 'Xatu']","['Nidoking', 'Gorebyss', 'Kangaskhan', 'Omastar', 'Qwilfish', 'Solrock']",36,13,11
smogtours-gen3uu-378881,[Gen 3] UU,2018-05-25 21:30:48,,thrash80465,horsea94141,horsea94141,True,"['Fearow', 'Electrode', 'Hitmontop', 'Omastar', 'Tentacruel', 'Cradily']","['Nidoking', 'Gorebyss', 'Scyther', 'Omastar', 'Cradily']",26,15,11
gen3uu-984438970,[Gen 3] UU,2019-09-30 01:08:13,,powertrick37736,shadowpunch93051,shadowpunch93051,False,"['Kangaskhan', 'Misdreavus', 'Scyther', 'Omastar', 'Tentacruel', 'Cradily']","['Pinsir', 'Muk', 'Kangaskhan', 'Scyther', 'Lunatone', 'Hypno']",46,16,8
smogtours-gen3uu-751208,[Gen 3] UU,2024-03-03 03:18:17,,illuminate274,enpowerflying39776,illuminate274,False,"['Raichu', 'Stantler', 'Politoed', 'Haunter', 'Ninetales']","['Aggron', 'Stantler', 'Roselia', 'Hypno', 'Politoed', 'Haunter']",30,7,13
smogtours-gen3uu-643443,[Gen 3] UU,2022-08-13 18:42:04,,noctowl47464,volbeat11507,noctowl47464,True,"['Hitmontop', 'Kangaskhan', 'Omastar', 'Altaria', 'Aggron', 'Vileplume']","['Blastoise', 'Muk', 'Kangaskhan', 'Omastar', 'Altaria', 'Sableye']",97,22,38
gen3uu-702194870,[Gen 3] UU,2018-02-10 22:32:07,,recycle92780,thrash80465,thrash80465,True,"['Kangaskhan', 'Omastar', 'Lunatone', 'Tentacruel', 'Ninetales', 'Vileplume']","['Hitmontop', 'Kangaskhan', 'Lanturn', 'Omastar', 'Hypno', 'Altaria']",29,12,14
gen3uu-1083177510,[Gen 3] UU,2020-03-22 02:07:47,,poisonpowder20021,arceusbug54843,arceusbug54843,False,"['Linoone', 'Octillery', 'Tentacruel', 'Shiftry', 'Ninetales', 'Cradily']","['Exploud', 'Banette', 'Absol', 'Altaria', 'Aggron', 'Sharpedo']",35,5,6
smogtours-gen3uu-713661,[Gen 3] UU,2023-09-02 19:10:26,,bodyslam74090,spite43258,bodyslam74090,False,"['Primeape', 'Magmar', 'Raichu', 'Stantler', 'Octillery', 'Sableye']","['Primeape', 'Raichu', 'Kabutops', 'Roselia', 'Quagsire', 'Hypno']",23,10,9
gen3uu-969956011,[Gen 3] UU,2019-09-02 19:10:36,,barrier93335,bellydrum88087,barrier93335,False,"['Misdreavus', 'Meganium', 'Tentacruel', 'Altaria', 'Raticate', 'Aggron']","['Nidoking', 'Camerupt', 'Quagsire', 'Altaria', 'Cradily', 'Golem']",64,20,18
gen3uu-809504199,[Gen 3] UU,2018-09-22 18:43:16,,cut51831,conversion257800,conversion257800,False,"['Fearow', 'Nidoking', 'Kangaskhan', 'Scyther', 'Omastar', 'Tentacruel']","['Nidoking', 'Scyther', 'Hypno', 'Rapidash', 'Mawile']",19,9,6
gen3uu-879417438,[Gen 3] UU,2019-03-21 00:29:08,,ursaring45910,zenheadbutt21681,ursaring45910,True,"['Linoone', 'Solrock', 'Grovyle', 'Qwilfish']","['Marshtomp', 'Poliwrath', 'Kangaskhan', 'Mr. Mime', 'Banette', 'Hitmonchan']",30,8,12
gen3uu-2004061662,[Gen 3] UU,2023-12-03 22:34:55,,swift96975,flygon88984,flygon88984,True,"['Blastoise', 'Kangaskhan', 'Ampharos', 'Omastar', 'Gligar', 'Arcanine']","['Kangaskhan', 'Scyther', 'Tentacruel', 'Slowking', 'Granbull', 'Glalie']",121,27,34
smogtours-gen3uu-514244,[Gen 3] UU,2020-08-16 17:02:49,,kingsrock7915,stall76104,stall76104,False,"['Kangaskhan', 'Muk', 'Scyther', 'Omastar', 'Slowking', 'Solrock']","['Kangaskhan', 'Scyther', 'Omastar', 'Tentacruel', 'Aggron', 'Vileplume']",28,9,8
gen3uu-783166795,[Gen 3] UU,2018-07-29 23:31:32,,waveincense51112,scyther3015,waveincense51112,False,"['Torkoal', 'Cacturne', 'Vigoroth', 'Kingler', 'Mawile', 'Golbat']","['Metang', 'Hitmonchan', 'Octillery', 'Pupitar', 'Haunter', 'Kecleon']",39,16,12
gen3uu-2207192070,[Gen 3] UU,2024-09-22 14:26:51,,jumpkick50728,salamence92281,salamence92281,False,"['Electrode', 'Pinsir', 'Walrein', 'Kangaskhan', 'Hypno', 'Granbull']","['Kangaskhan', 'Ampharos', 'Omastar', 'Scyther', 'Tentacruel', 'Granbull']",24,11,11
smogtours-gen3uu-572986,[Gen 3] UU,2021-08-09 00:09:15,,metapod69736,wooper24132,wooper24132,False,"['Kangaskhan', 'Feraligatr', 'Scyther', 'Omastar', 'Slowking', 'Vileplume']","['Kangaskhan', 'Scyther', 'Tentacruel', 'Altaria', 'Aggron', 'Cradily']",37,18,15
smogtours-gen3uu-748348,[Gen 3] UU,2024-02-18 18:28:03,,rattata90247,machop48408,rattata90247,False,"['Walrein', 'Muk', 'Omastar', 'Lunatone', 'Vileplume']","['Nidoking', 'Hitmontop', 'Kangaskhan', 'Lapras', 'Omastar', 'Arcanine']",32,9,14
gen3uu-2183530478,[Gen 3] UU,2024-08-19 21:44:09,,electabuzz37326,hitmonchan30284,electabuzz37326,True,"['Electabuzz', 'Roselia', 'Poliwrath', 'Kangaskhan', 'Solrock', 'Arcanine']","['Blastoise', 'Kangaskhan', 'Ampharos', 'Granbull', 'Gligar', 'Qwilfish']",29,14,13
gen3uu-2207046479,[Gen 3] UU,2024-09-22 07:48:13,,snore40372,snubbull65353,snubbull65353,False,"['Hitmontop', 'Walrein', 'Kangaskhan', 'Scyther', 'Omastar', 'Vileplume']","['Walrein', 'Muk', 'Kangaskhan', 'Omastar', 'Lunatone', 'Vileplume']",29,11,8
smogtours-gen3uu-787223,[Gen 3] UU,2024-08-25 01:47:50,,whirlpool40763,houndoom76810,whirlpool40763,True,"['Blastoise', 'Kangaskhan', 'Ampharos', 'Omastar', 'Scyther', 'Arcanine']","['Kangaskhan', 'Feraligatr', 'Ampharos', 'Omastar', 'Tentacruel', 'Gligar']",53,18,25
gen3uu-1061945843,[Gen 3] UU,2020-02-12 10:23:27,,stealthrock23092,blaze75887,stealthrock23092,False,"['Electrode', 'Pinsir', 'Walrein', 'Kangaskhan', 'Hypno', 'Granbull']","['Camerupt', 'Electabuzz', 'Nidoking', 'Blastoise', 'Grumpig', 'Aggron']",25,9,10
smogtours-gen3uu-731283,[Gen 3] UU,2023-11-18 21:17:38,,swift96975,masterball27906,swift96975,False,"['Nidoqueen', 'Azumarill', 'Kangaskhan', 'Lanturn', 'Omastar', 'Gligar']","['Hitmontop', 'Walrein', 'Kangaskhan', 'Muk', 'Omastar', 'Altaria']",36,14,14
smogtours-gen3uu-751103,[Gen 3] UU,2024-03-02 21:35:57,,tangrowth23890,persian83665,persian83665,False,"['Raichu', 'Metang', 'Chimecho', 'Persian', 'Politoed', 'Ninetales']","['Roselia', 'Metang', 'Poliwrath', 'Chimecho', 'Sableye', 'Ninetales']",52,12,14
smogtours-gen3uu-534942,[Gen 3] UU,2021-01-02 18:30:56,,cheriberry45794,seedflare81285,cheriberry45794,False,"['Hitmontop', 'Walrein', 'Kangaskhan', 'Muk', 'Omastar', 'Altaria']","['Walrein', 'Kangaskhan', 'Ampharos', 'Scyther', 'Omastar', 'Solrock']",61,23,28
gen3uu-777638323,[Gen 3] UU,2018-07-18 17:43:22,,lansatberry21170,sealeo21756,sealeo21756,False,"['Pinsir', 'Kangaskhan', 'Muk', 'Scyther', 'Lunatone', 'Hypno']","['Blastoise', 'Kangaskhan', 'Scyther', 'Omastar', 'Hypno', 'Gligar']",34,6,9
smogtours-gen3uu-451002,[Gen 3] UU,2019-07-08 00:23:13,,psychup14796,lockon17539,psychup14796,True,"['Omastar', 'Granbull']","['Pinsir', 'Solrock', 'Scyther']",7,1,2
smogtours-gen3uu-389776,[Gen 3] UU,2018-07-24 15:10:39,,larvitar47269,explosion94540,explosion94540,False,"['Roselia', 'Chimecho', 'Hitmonchan', 'Sableye', 'Huntail', 'Golbat']","['Relicanth', 'Flareon', 'Roselia', 'Chimecho', 'Hitmonchan', 'Vigoroth']",34,9,9
