id,format,uploadtime,rating,player1,player2,Winner,Forfeit,Team 1,Team 2,Turns,# Switches 1,# Switches 2
gen4ubers-140304375,[Gen 4] UBERS,2014-07-11 21:53:19,,relicanth35516,magby12172,magby12172,False,"['Dialga', 'Cloyster', 'Scizor', 'Palkia', 'Giratina-Origin', 'Kyogre']","['Palkia', 'Rayquaza', 'Groudon', 'Salamence', 'Wobbuffet', 'Darkrai']",25,15,7
gen4ubers-263290817,[Gen 4] UBERS,2015-08-25 23:39:45,,zenheadbutt95444,rabutaberry41208,zenheadbutt95444,False,"['Gengar', 'Umbreon', 'Azelf', 'Scizor', 'Snorlax', 'Rotom-Wash']","['Empoleon', 'Garchomp', 'Roserade', 'Staraptor', 'Machamp', 'Mismagius']",37,13,12
gen4ubers-642973494,[Gen 4] UBERS,2017-10-09 16:20:18,,slam94785,sandveil59167,sandveil59167,True,"['Dialga', 'Jirachi', 'Latios', 'Lucario', 'Groudon', 'Salamence']","['Dialga', 'Tyranitar', 'Rayquaza', 'Groudon', 'Darkrai']",22,12,10
gen4ubers-1162210234,[Gen 4] UBERS,2020-08-02 22:54:58,,mismagius19405,endure93769,mismagius19405,False,"['Dialga', 'Jirachi', 'Latias', 'Arceus', 'Darkrai', 'Kyogre']","['Cloyster', 'Ho-Oh', 'Palkia', 'Groudon', 'Arceus-Fighting', 'Darkrai']",32,8,9
smogtours-gen4ubers-555520,[Gen 4] UBERS,2021-04-12 19:35:28,,nestball24088,slam94785,slam94785,False,"['Jirachi', 'Garchomp', 'Tyranitar', 'Palkia', 'Giratina-Origin', 'Groudon']","['Skarmory', 'Garchomp', 'Tyranitar', 'Palkia', 'Giratina', 'Kyogre']",34,13,13
smogtours-gen4ubers-590157,[Gen 4] UBERS,2021-10-31 14:27:10,,selfdestruct62760,gengar68063,selfdestruct62760,False,"['Jirachi', 'Latios', 'Deoxys-Speed', 'Rayquaza', 'Darkrai', 'Kyogre']","['Dialga', 'Heatran', 'Latias', 'Mewtwo', 'Groudon', 'Darkrai']",27,7,10
smogtours-gen4ubers-100610,[Gen 4] UBERS,2015-11-14 20:08:38,,furyswipes59456,articuno30599,articuno30599,False,"['Dialga', 'Jirachi', 'Skarmory', 'Starmie', 'Heatran', 'Palkia']","['Dialga', 'Latios', 'Deoxys-Speed', 'Giratina-Origin', 'Kyogre']",19,8,5
gen4ubers-2361694799,[Gen 4] UBERS,2025-05-11 15:40:02,,zigzagoon56012,haunter56902,zigzagoon56012,False,"['Empoleon', 'Clefable', 'Togekiss', 'Rotom-Mow', 'Primeape', 'Ambipom']","['Armaldo', 'Ninjask', 'Shedinja', 'Heracross', 'Scizor', 'Butterfree']",33,9,9
gen4ubers-2359247605,[Gen 4] UBERS,2025-05-08 00:10:58,,chartiberry59068,moltres98817,chartiberry59068,False,"['Rapidash', 'Smeargle', 'Nidoqueen', 'Dusknoir', 'Hypno']","['Stantler', 'Dusknoir', 'Volbeat', 'Froslass', 'Gyarados', 'Mawile']",27,7,10
gen4ubers-318502029,[Gen 4] UBERS,2016-01-17 07:31:22,,cloyster40457,cranidos95818,cloyster40457,False,"['Dialga', 'Jirachi', 'Tyranitar', 'Palkia', 'Rayquaza', 'Bronzong']","['Dialga', 'Jirachi', 'Giratina', 'Groudon', 'Wobbuffet', 'Latias']",30,10,13
gen4ubers-2366175930,[Gen 4] UBERS,2025-05-17 21:23:59,,zigzagoon56012,drapion76284,drapion76284,True,"['Empoleon', 'Clefable', 'Raikou', 'Rotom-Mow', 'Ambipom', 'Hariyama']","['Torterra', 'Venusaur', 'Garchomp', 'Slowbro', 'Tyranitar', 'Feraligatr']",29,15,11
smogtours-gen4ubers-630165,[Gen 4] UBERS,2022-06-05 17:51:50,,tintedlens67414,rotomfan10517,rotomfan10517,True,"['Dialga', 'Skarmory', 'Kingdra', 'Giratina-Origin', 'Kyogre']","['Mewtwo', 'Groudon', 'Manaphy', 'Deoxys-Speed']",20,8,4
smogtours-gen4ubers-654413,[Gen 4] UBERS,2022-10-12 17:43:53,,porygon63784,luxray22111,luxray22111,True,"['Jirachi', 'Latios', 'Tyranitar', 'Palkia', 'Darkrai', 'Kyogre']","['Dialga', 'Rayquaza', 'Groudon', 'Wobbuffet', 'Darkrai']",22,6,7
gen4ubers-976503671,[Gen 4] UBERS,2019-09-15 19:00:50,,pickup67623,trace6883,pickup67623,False,"['Dialga', 'Rayquaza', 'Giratina-Origin', 'Darkrai', 'Forretress', 'Kyogre']","['Jirachi', 'Heatran', 'Deoxys-Speed', 'Giratina-Origin', 'Groudon', 'Latias']",33,9,16
gen4ubers-2043285887,[Gen 4] UBERS,2024-01-24 23:25:32,,ironplate11467,charmeleon84265,ironplate11467,False,"['Suicune', 'Empoleon', 'Raikou', 'Gligar', 'Dragonite']","['Infernape', 'Clefable', 'Scizor', 'Donphan', 'Electivire', 'Gyarados']",43,6,13
gen4ubers-2012499616,[Gen 4] UBERS,2023-12-16 03:58:51,,smeargle58683,discharge18938,discharge18938,False,"['Shiftry', 'Latios', 'Heatran', 'Groudon', 'Deoxys-Attack', 'Darkrai']","['Lugia', 'Tyranitar', 'Tentacruel', 'Palkia', 'Bronzong']",17,10,7
smogtours-gen4ubers-199356,[Gen 4] UBERS,2016-10-05 20:27:57,,stall76104,serenegrace4874,serenegrace4874,False,"['Jirachi', 'Shiftry', 'Palkia', 'Giratina-Origin', 'Groudon', 'Froslass']","['Dialga', 'Jirachi', 'Garchomp', 'Deoxys-Speed', 'Palkia', 'Giratina-Origin']",21,13,8
gen4ubers-2202216492,[Gen 4] UBERS,2024-09-15 16:41:20,,haunter56902,chargebeam64809,haunter56902,False,"['Metagross', 'Jynx', 'Starmie', 'Exeggutor', 'Medicham', 'Alakazam']","['Breloom', 'Gengar', 'Flygon', 'Blissey', 'Swampert', 'Steelix']",42,10,11
gen4ubers-1124500313,[Gen 4] UBERS,2020-05-31 21:35:43,,splashplate12645,tailwind53351,tailwind53351,False,"['Shaymin-Sky', 'Tentacruel', 'Giratina', 'Palkia', 'Bronzong', 'Darkrai']","['Dialga', 'Scizor', 'Palkia', 'Rayquaza', 'Mewtwo', 'Groudon']",34,10,11
gen4ubers-845449256,[Gen 4] UBERS,2019-01-07 01:03:47,,fighting54417,slowking30938,fighting54417,False,['Bellsprout'],['Ditto'],5,0,0
gen4ubers-803293206,[Gen 4] UBERS,2018-09-09 19:05:44,,cut51831,lunardance19168,lunardance19168,False,"['Metagross', 'Jirachi', 'Aerodactyl', 'Dragonite', 'Latias', 'Gyarados']","['Gengar', 'Flygon', 'Heatran', 'Roserade', 'Vaporeon', 'Latias']",36,13,13
gen4ubers-2228848704,[Gen 4] UBERS,2024-10-23 01:17:24,,moltres98817,haunter56902,haunter56902,False,"['Metagross', 'Porygon2', 'Clefable', 'Tyranitar', 'Swampert', 'Dragonite']","['Kingdra', 'Ludicolo', 'Dewgong', 'Lanturn', 'Whiscash', 'Gyarados']",33,7,10
gen4ubers-1079373392,[Gen 4] UBERS,2020-03-15 13:24:26,,assurance21188,energypowder57843,assurance21188,False,"['Sceptile', 'Hippowdon', 'Heatran', 'Floatzel', 'Ursaring', 'Hariyama']","['Torterra', 'Altaria', 'Gengar', 'Starmie', 'Lucario', 'Golduck']",21,7,9
gen4ubers-998055033,[Gen 4] UBERS,2019-10-24 21:24:30,,block84342,futuresight373,futuresight373,False,"['Dialga', 'Cloyster', 'Scizor', 'Palkia', 'Giratina-Origin', 'Kyogre']","['Dialga', 'Jirachi', 'Mew', 'Latios', 'Mewtwo']",16,8,6
gen4ubers-2302749211,[Gen 4] UBERS,2025-02-17 23:13:54,,drapion76284,spiderweb40281,spiderweb40281,False,"['Metagross', 'Gengar', 'Tyranitar', 'Heracross', 'Zapdos', 'Swampert']","['Blissey', 'Skarmory', 'Azelf', 'Lucario', 'Rotom-Wash', 'Gyarados']",50,16,17
gen4ubers-152102357,[Gen 4] UBERS,2014-08-14 01:41:38,,enpowerpoison39624,corsola48772,corsola48772,False,"['Jirachi', 'Garchomp', 'Palkia', 'Giratina-Origin', 'Qwilfish', 'Kyogre']","['Jirachi', 'Garchomp', 'Tyranitar', 'Palkia', 'Giratina-Origin', 'Deoxys-Attack']",30,9,9
gen4ubers-231625342,[Gen 4] UBERS,2015-05-10 16:17:51,,dreadplate39419,snover52389,snover52389,True,"['Skarmory', 'Palkia', 'Dunsparce', 'Giratina', 'Salamence']","['Dialga', 'Darkrai', 'Kyogre', 'Kabutops']",20,8,5
gen4ubers-592261647,[Gen 4] UBERS,2017-06-18 03:43:52,,miltank57341,woodhammer83701,miltank57341,False,"['Pidgeot', 'Exeggutor', 'Rhydon']","['Breloom', 'Hitmonlee', 'Medicham', 'Poliwrath', 'Primeape', 'Hitmonchan']",17,2,5
gen4ubers-2256125984,[Gen 4] UBERS,2024-12-03 21:13:27,,luckychant39469,moltres98817,luckychant39469,False,"['Metagross', 'Venusaur', 'Kangaskhan', 'Zapdos', 'Swampert', 'Banette']","['Sceptile', 'Furret', 'Regice', 'Primeape', 'Golem', 'Dragonite']",17,7,11
gen4ubers-2245802773,[Gen 4] UBERS,2024-11-17 21:28:00,,icyrock92823,lastresort11902,icyrock92823,False,"['Kabutops', 'Latios', 'Arceus-Steel', 'Rayquaza', 'Giratina-Origin', 'Kyogre']","['Kingdra', 'Arceus-Ghost', 'Deoxys-Speed', 'Lucario', 'Darkrai', 'Kyogre']",24,8,6
gen4ubers-921493257,[Gen 4] UBERS,2019-06-03 16:29:12,,blastburn68087,tintedlens67414,blastburn68087,False,"['Manaphy', 'Jirachi', 'Garchomp', 'Palkia', 'Giratina-Origin', 'Kyogre']","['Deoxys-Speed', 'Lucario', 'Rayquaza', 'Bronzong', 'Groudon', 'Latias']",33,9,10
gen4ubers-2162022324,[Gen 4] UBERS,2024-07-16 17:23:29,,sludgebomb65039,haunter56902,sludgebomb65039,False,"['Sneasel', 'Porygon2', 'Blissey', 'Skarmory', 'Alakazam', 'Salamence']","['Breloom', 'Hitmonlee', 'Medicham', 'Poliwrath', 'Primeape', 'Blaziken']",22,6,6
smogtours-gen4ubers-771656,[Gen 4] UBERS,2024-06-01 21:29:03,,spoink27592,sacredfire231,spoink27592,False,"['Dialga', 'Ho-Oh', 'Giratina-Origin', 'Groudon', 'Latias', 'Forretress']","['Dialga', 'Palkia', 'Bronzong', 'Giratina-Origin', 'Qwilfish', 'Kyogre']",31,16,16
smogtours-gen4ubers-629777,[Gen 4] UBERS,2022-06-04 12:09:03,,bide85657,needlearm25079,needlearm25079,False,"['Dialga', 'Jirachi', 'Latios', 'Deoxys-Speed', 'Lucario', 'Darkrai']","['Dialga', 'Ho-Oh', 'Kyogre', 'Giratina-Origin', 'Manaphy']",19,9,4
gen4ubers-250950483,[Gen 4] UBERS,2015-07-19 01:24:04,,shedinja88926,imprison56103,shedinja88926,True,"['Cloyster', 'Blissey', 'Ludicolo', 'Deoxys-Speed', 'Groudon']","['Deoxys-Speed', 'Palkia', 'Rayquaza', 'Giratina-Origin', 'Wobbuffet', 'Kyogre']",44,6,11
