pokemon,format,won,lost,moves
Abomasnow,[Gen 3] OU,8,7,"['Blizzard', 'Giga Drain', 'Hidden Power', 'Ice Beam', 'Leech Seed', 'Protect', 'Toxic']"
Abomasnow,[Gen 4] OU,3606,3651,"['Avalanche', 'Blizzard', 'Block', 'Brick Break', 'Bullet Seed', 'Earthquake', 'Energy Ball', 'Fling', 'Focus Blast', 'Focus Punch', 'Giga Drain', 'Grass Knot', 'Grass Whistle', 'Hidden Power', 'Ice Beam', 'Ice Punch', 'Ice Shard', 'Icy Wind', 'Ingrain', 'Iron Tail', 'Leech Seed', 'Light Screen', 'Outrage', 'Protect', 'Razor Leaf', 'Rest', 'Rock Slide', 'Seed Bomb', 'Shadow Ball', 'Sleep Talk', 'Substitute', 'Swords Dance', 'Synthesis', 'Toxic', 'Water Pulse', 'Wood Hammer']"
Abomasnow,[Gen 4] UBERS,97,124,"['Avalanche', 'Blizzard', 'Brick Break', 'Earthquake', 'Energy Ball', 'Focus Blast', 'Giga Drain', 'Grass Knot', 'Grass Whistle', 'Hidden Power', 'Ice Beam', 'Ice Punch', 'Ice Shard', 'Ingrain', 'Leech Seed', 'Mist', 'Protect', 'Rock Slide', 'Seed Bomb', 'Shadow Ball', 'Sleep Talk', 'Substitute', 'Swords Dance', 'Synthesis', 'Water Pulse', 'Wood Hammer']"
Abomasnow,[Gen 4] UU,21,4,"['Blizzard', 'Earthquake', 'Focus Punch', 'Ice Shard', 'Leech Seed', 'Protect', 'Wood Hammer']"
Abomasnow,[gen 4] OU,0,1,[]
Abra,[Gen 1] NU,47,50,"['Counter', 'Flash', 'Psychic', 'Reflect', 'Seismic Toss', 'Substitute', 'Thunder Wave']"
Abra,[Gen 1] OU,235,231,"['Agility', 'Amnesia', 'Barrage', 'Barrier', 'Bide', 'Blizzard', 'Body Slam', 'Clamp', 'Comet Punch', 'Confuse Ray', 'Constrict', 'Counter', 'Dig', 'Double Kick', 'Double Slap', 'Double Team', 'Dream Eater', 'Drill Peck', 'Earthquake', 'Fire Blast', 'Fire Spin', 'Fissure', 'Flash', 'Fury Swipes', 'Glare', 'Growth', 'Headbutt', 'High Jump Kick', 'Horn Attack', 'Ice Punch', 'Leech Life', 'Meditate', 'Mega Kick', 'Mega Punch', 'Metronome', 'Mimic', 'Minimize', 'Mirror Move', 'Peck', 'Poison Powder', 'Poison Sting', 'Psybeam', 'Psychic', 'Psywave', 'Rage', 'Reflect', 'Rest', 'Roar', 'Screech', 'Seismic Toss', 'Skull Bash', 'Sky Attack', 'Solar Beam', 'Sonic Boom', 'Spore', 'Submission', 'Substitute', 'Supersonic', 'Surf', 'Swords Dance', 'Tackle', 'Tail Whip', 'Teleport', 'Thunder', 'Thunder Punch', 'Thunder Shock', 'Thunder Wave', 'Toxic', 'Transform', 'Tri Attack', 'Vine Whip', 'Whirlwind', 'Wing Attack', 'Withdraw']"
Abra,[Gen 1] UBERS,3,12,"['Flash', 'Psychic', 'Seismic Toss', 'Teleport', 'Thunder Wave', 'Tri Attack']"
Abra,[Gen 1] UU,41,33,"['Aurora Beam', 'Body Slam', 'Counter', 'Dig', 'Ice Punch', 'Mega Kick', 'Metronome', 'Psychic', 'Reflect', 'Seismic Toss', 'Substitute', 'Thunder Punch', 'Thunder Wave', 'Whirlwind']"
Abra,[Gen 2] NU,32,42,"['Dynamic Punch', 'Encore', 'Fire Punch', 'Hidden Power', 'Ice Punch', 'Light Screen', 'Psychic', 'Substitute', 'Thief', 'Thunder Punch', 'Thunder Wave']"
Abra,[Gen 2] OU,78,108,"['Dynamic Punch', 'Encore', 'Fire Punch', 'Hidden Power', 'Ice Punch', 'Light Screen', 'Protect', 'Psychic', 'Rest', 'Seismic Toss', 'Shadow Ball', 'Sleep Talk', 'Substitute', 'Teleport', 'Thief', 'Thunder Punch', 'Thunder Wave', 'Toxic', 'Tri Attack']"
Abra,[Gen 2] UBERS,4,11,"['Dynamic Punch', 'Encore', 'Fire Punch', 'Hidden Power', 'Protect', 'Psychic', 'Shadow Ball', 'Substitute', 'Thunder Punch', 'Thunder Wave', 'Toxic']"
Abra,[Gen 2] UU,5,6,"['Fire Punch', 'Hidden Power', 'Ice Punch', 'Psychic', 'Substitute', 'Thunder Punch', 'Thunder Wave']"
Abra,[Gen 3] NU,51,78,"['Calm Mind', 'Counter', 'Encore', 'Endure', 'Fire Punch', 'Hidden Power', 'Ice Punch', 'Psychic', 'Safeguard', 'Substitute', 'Thief', 'Thunder Punch', 'Thunder Wave']"
Abra,[Gen 3] OU,137,162,"['Body Slam', 'Calm Mind', 'Encore', 'Endure', 'Fire Punch', 'Hidden Power', 'Ice Punch', 'Knock Off', 'Protect', 'Psychic', 'Shadow Ball', 'Substitute', 'Taunt', 'Thief', 'Thunder Punch', 'Thunder Wave', 'Toxic']"
Abra,[Gen 3] UBERS,6,5,"['Calm Mind', 'Encore', 'Endure', 'Feint Attack', 'Fire Punch', 'Mega Kick', 'Metronome', 'Psychic', 'Substitute', 'Taunt', 'Teleport', 'Thunder Wave']"
Abra,[Gen 3] UU,8,9,"['Encore', 'Endure', 'Fire Punch', 'Hidden Power', 'Psychic', 'Thunder Punch']"
Abra,[Gen 4] NU,5,5,"['Energy Ball', 'Hidden Power', 'Psychic', 'Signal Beam', 'Teleport', 'Trick']"
Abra,[Gen 4] OU,6,7,"['Barrier', 'Fire Punch', 'Hidden Power', 'Knock Off', 'Magic Coat', 'Psychic', 'Seismic Toss', 'Teleport', 'Thunder Wave', 'Trick Room']"
Abra,[Gen 4] UBERS,2,5,[]
Abra,[Gen 4] UU,1,2,"['Grass Knot', 'Psychic', 'Taunt', 'Thunder Wave']"
